title	link	summary	green_innovation	business_innovation	green_product	green_process	company	official_company_name	product_or_process	likely_naics_codes	greenwashing
Renewable Energy Generation Operations Begin at Electrify America Solar Glow™ 1 - PR Newswire	https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3JlbmV3YWJsZS1lbmVyZ3ktZ2VuZXJhdGlvbi1vcGVyYXRpb25zLWJlZ2luLWF0LWVsZWN0cmlmeS1hbWVyaWNhLXNvbGFyLWdsb3ctMS0zMDE5MDEyMTMuaHRtbNIBAA?oc=5	Electrify America, a leading EV charging network, has partnered with Terra-Gen to build a 75 MW solar farm, Solar Glow™ 1, in San Bernardino County, CA. This project is expected to generate 225 Gigawatt-Hours of renewable energy annually, offsetting the carbon footprint of Electrify America's charging network and contributing to their goal of providing 100% renewable energy to customers.	True	True	False	True	Electrify America	Electrify America LLC	Solar Glow™ 1	['221112', 'Solar Electric Power Generation', '486110', 'Electric Power Generation, Transmission and Distribution', '493110', 'Electric Power Transmission and Distribution', '493120', 'Natural Gas Distribution']	There is no evidence of greenwashing in the article; Electrify America clearly outlines their commitment to renewable energy and their goal of providing 100% renewable energy to customers.
The Clean Energy Future Is Arriving Faster Than You Think - The New York Times	https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3Lm55dGltZXMuY29tL2ludGVyYWN0aXZlLzIwMjMvMDgvMTIvY2xpbWF0ZS9jbGVhbi1lbmVyZ3ktdXMtZm9zc2lsLWZ1ZWxzLmh0bWzSAQA?oc=5	The United States is experiencing a rapid shift away from fossil fuels towards renewable energy sources like solar and wind power. This shift is driven by falling costs of clean energy, government subsidies, and increasing demand for electric vehicles. The transition is occurring across the country, even in traditionally oil-producing states like Oklahoma, and is accelerating as companies invest in green technologies and manufacturers shift production to meet rising consumer demand.	True	True	True	True	Enel	Enel S.p.A.	Solar panel factory	['325999', 'All Other Miscellaneous Manufacturing', '325320', 'Solar Energy System Manufacturing', '237110', 'Heavy and Civil Engineering Construction', '488210', 'Electric Power Generation, Transmission and Distribution']	The article doesn't suggest that any of the described innovations are examples of greenwashing.
Clean Energy Skills Workshops | TRC - TRC Companies	https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LnRyY2NvbXBhbmllcy5jb20vaW5zaWdodHMvY2xlYW4tZW5lcmd5LXNraWxscy13b3Jrc2hvcHMv0gEA?oc=5	TRC and its clients are partnering with local high schools to introduce students to careers in the clean energy industry. These workshops educate students on clean energy careers, provide building science and business education, and offer networking opportunities with industry professionals. The goal is to recruit a more diverse workforce for the growing clean energy sector.	True	True	False	False	TRC	TRC Companies, Inc.	Clean Energy Skills Workshops	['611110 - Elementary and Secondary Schools', '541990 - All Other Professional, Scientific, and Technical Services', '541330 - Engineering Services', '561320 - Employment Placement Agencies']	The article describes an effort to promote clean energy careers and workforce development, not a greenwashing tactic.
New products, packaging help minimize exam glove waste - Medline Newsroom	https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vbmV3c3Jvb20ubWVkbGluZS5jb20vc29jaWFsLXJlc3BvbnNpYmlsaXR5L25ldy1wcm9kdWN0cy1wYWNrYWdpbmctaGVscC1taW5pbWl6ZS1leGFtLWdsb3ZlLXdhc3RlL9IBAA?oc=5	Medline, a healthcare supply company, has launched two new products to reduce glove waste and lower costs. The SmartBoX packaging design reduces lost gloves and the new glove material minimizes rips and tears. Medline also has a program to transform used gloves into energy.	True	True	True	True	Medline	Medline Industries, Inc.	SmartBoX and new glove material, Gloves Waste to Energy program	['339114 - Medical and Surgical Instrument Manufacturing', '423420 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers', '519190 - Other Information Services', '561110 - Office Administrative Services']	There is no evidence of greenwashing in this article, as the company describes tangible benefits and processes that demonstrably contribute to environmental sustainability.
Stellantis Invests in CTR to Strengthen Low Emissions U.S. Lithium Production - Stellantis	https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5zdGVsbGFudGlzLmNvbS9lbi9uZXdzL3ByZXNzLXJlbGVhc2VzLzIwMjMvYXVndXN0L3N0ZWxsYW50aXMtaW52ZXN0cy1pbi1jdHItdG8tc3RyZW5ndGhlbi1sb3ctZW1pc3Npb24tdXMtbGl0aGl1bS1wcm9kdWN0aW9u0gEA?oc=5	Stellantis and Controlled Thermal Resources Holdings Inc. (CTR) announced a joint investment of over $100 million to develop CTR's Hell's Kitchen geothermal lithium project in California. This project aims to extract lithium from geothermal brines, using renewable energy to produce sustainable battery-grade lithium products. This investment aims to support Stellantis' commitment to producing electric vehicles with sustainable battery supply chains and to meet the company's ambitious goal of 50% BEV sales by 2030.	True	True	True	True	Stellantis	Stellantis N.V.	Geothermal lithium extraction and production of battery-grade lithium hydroxide monohydrate (LHM)	['212299 - Other Nonmetallic Mineral Mining', '325991 - Other Chemical Product Manufacturing', '325999 - All Other Chemical Product Manufacturing', '423830 - Merchant Wholesalers, Nondurable Goods']	The described process and product are not examples of greenwashing; the article highlights the sustainability of the lithium extraction and production method.
Kenya's Solar Industry, Discussing Its Challenges And Opportunities. With Over 80% Reliance On Renewable Energy ... - SolarQuarter	https://news.google.com/rss/articles/CBMi5gFodHRwczovL3NvbGFycXVhcnRlci5jb20vMjAyMy8wOC8wMy9rZW55YXMtc29sYXItaW5kdXN0cnktZGlzY3Vzc2luZy1pdHMtY2hhbGxlbmdlcy1hbmQtb3Bwb3J0dW5pdGllcy13aXRoLW92ZXItODAtcmVsaWFuY2Utb24tcmVuZXdhYmxlLWVuZXJneS1mb3ItdGhlLW5hdGlvbmFsLWdyaWQta2VueWEtZGVtb25zdHJhdGVzLWEtc3Ryb25nLWNvbW1pdG1lbnQtdG8tcmVuZXdhYmxlcy1kYXZpZC1rYXJpL9IBAA?oc=5	Metrocart, a solar energy company in Kenya, is navigating the challenges and opportunities of the country's growing solar market. The company faces difficulties with fluctuating government policies and the presence of low-quality products. However, Metrocart is working to overcome these challenges by partnering with local communities, developing innovative solutions like modular systems and build-operate-transfer models, and ensuring compliance with local regulations.	True	True	True	True	Metrocart	Metrocart Limited	Solar energy systems, modular solar systems, build-operate-transfer model	['238220 - Electrical Contractors', '423820 - Electrical Equipment and Supplies Merchant Wholesalers', '561421 - Solar Energy Contractors', '561320 - Landscape Architectural Services']	There is no evidence of greenwashing within the text provided.
Observing the Megatrends of New Zealand's Green Economy | BCG - BCG	https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmJjZy5jb20vcHVibGljYXRpb25zLzIwMjMvb2JzZXJ2aW5nLW1lZ2F0cmVuZHMtbmV3LXplYWxhbmQtZ3JlZW4tZWNvbm9tedIBAA?oc=5	This article discusses opportunities for New Zealand's green economy, focusing on eco-tourism, sustainable construction, low-carbon energy, sustainable food production, and green consumer products. The article highlights the rising global demand for sustainable travel and products, presenting New Zealand's potential to leverage its natural beauty and existing strengths in biogenic building materials to capitalize on these trends.	True	True	True	True	Air New Zealand	Air New Zealand Limited	Sustainable aviation fuel	['481110 - Scheduled Air Transportation', '531312 - Travel Agencies', '561510 - Travel Arrangement and Reservation Services', '561990 - All Other Travel Support Services']	The article does not indicate any instances of greenwashing.
Brown-Forman and Ylem Energy develop solar array for Scottish distillery - FoodBev.com	https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvb2RiZXYuY29tL25ld3MvYnJvd24tZm9ybWFuLWFuZC15bGVtLWVuZXJneS1kZXZlbG9wLXNvbGFyLWFycmF5LWZvci1zY290dGlzaC1kaXN0aWxsZXJ5L9IBAA?oc=5	Brown-Forman, a producer of spirits such as Jack Daniel's and Benriach Scotch Whisky, has partnered with Ylem Energy to install a 630kW solar array at their Benriach Bond facility in Edinburgh, Scotland. The solar array is expected to produce 516,000 KWp of clean energy annually, helping Brown-Forman achieve its goal of sourcing 100% renewable electricity by 2030. This project is part of Brown-Forman's commitment to the Scotch Whisky Association's 'Race to Zero' pledge to achieve net zero emissions by 2040.	True	True	False	True	Brown-Forman	Brown-Forman Corporation	Solar array and 'Xchange' product for energy export	['325199', 'All Other Miscellaneous Manufacturing', '238220', 'Electrical Contractors', '493110', 'Electric Power Generation, Transmission and Distribution', '561210', 'Facilities Support Services']	There is no indication of greenwashing in the article. The partnership between Brown-Forman and Ylem Energy is presented as a genuine effort to reduce carbon emissions and promote sustainable practices.
From Shirts to Insulators: Recycled Honda Uniforms Find New Utility in Vehicles - Honda Newsroom	https://news.google.com/rss/articles/CBMirAFodHRwczovL2hvbmRhbmV3cy5jb20vZW4tVVMvaG9uZGEtY29ycG9yYXRlL3JlbGVhc2VzL3JlbGVhc2UtNTAwM2FhYTM5YzAwOTM5M2Y1ZDA2ZDYyMGYwN2Q0MDEtZnJvbS1zaGlydHMtdG8taW5zdWxhdG9ycy1yZWN5Y2xlZC1ob25kYS11bmlmb3Jtcy1maW5kLW5ldy11dGlsaXR5LWluLXZlaGljbGVz0gEA?oc=5	Honda has launched a program to recycle uniforms worn by its associates at US manufacturing facilities into sound-absorbing insulation for new Honda and Acura vehicles. This initiative, part of Honda's 'Triple Action to Zero' commitment to sustainability, diverts thousands of pounds of uniforms from landfills each month and contributes to Honda's goal of using 100% sustainable materials in its products by 2050.	True	True	True	True	Honda	Honda Motor Co., Ltd.	Uniform recycling program	['336111', 'Motor Vehicle Manufacturing', '336311', 'Motor Vehicle Parts Manufacturing', '423810', 'Motor Vehicle and Motor Vehicle Parts Merchant Wholesalers', '424720', 'Textile Products Merchant Wholesalers']	This program does not appear to be greenwashing as it involves genuine efforts to reduce waste and promote sustainable practices.
CSRWire - Designing for Sustainability Drives Progress Along Logitech's Sustainability Journey - CSRwire.com	https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3LmNzcndpcmUuY29tL3ByZXNzX3JlbGVhc2VzLzc4MjYwNi1kZXNpZ25pbmctc3VzdGFpbmFiaWxpdHktZHJpdmVzLXByb2dyZXNzLWFsb25nLWxvZ2l0ZWNocy1zdXN0YWluYWJpbGl0edIBAA?oc=5	Logitech International, a hardware and software company, released its Fiscal Year 2023 Impact Report, highlighting progress toward its sustainability commitments. The company focuses on reducing its carbon footprint across operations and the value chain, achieving climate positivity by 2030. Logitech is implementing various sustainability initiatives, including using post-consumer recycled plastic, renewable energy, and carbon labeling for its products.	True	True	True	True	Logitech	Logitech International S.A.	Design for Sustainability	['334210', 'Computer and Peripheral Equipment Manufacturing', '334111', 'Electronic Computer Manufacturing', '423840', 'Computer and Electronic Product Wholesalers', '511210', 'Software Publishers']	The article does not provide evidence suggesting greenwashing practices by Logitech.
